"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"352","Jo","Sep","MPY","1",15.31,2.8
"353","Strawberry","Sep","MPY","3",9.58,2.8
"354","Zaza","Jun","MPY","3",5.22,20.3
"355","Ellie","Aug","MPY","1",7,32.4
"356","Jo","Aug","MPY","2",7.5,32.4
"357","Zaza","Aug","MPY","3",6.5,32.4
"358","Bonnie","Sep","MPY","2",10.33,6
"359","Hope","Sep","MPY","2",4.64,6
"360","Delilah","Nov","MPY","1",4.38,59.8
"361","Sally","Nov","MPY","1",4.13,59.8
"362","Pickles","May","MPY","2",8,68.4
"363","Zaza","Jul","MPY","3",7.06,40.2
"364","Beans","Aug","MPY","2",8.29,11
"365","Dash","Aug","MPY","2",7.08,11
"366","Michelle","Aug","MPY","3",8.59,11
"367","Apanie","Sep","MPY","2",10.39,49.8
"368","Arrow","Sep","MPY","2",7.13,49.8
"369","Celine","Sep","MPY","2",7.07,49.8
"370","Cotton","Sep","MPY","3",11.44,49.8
"371","Francis","Sep","MPY","2",10.11,49.8
"372","Goggles","Sep","MPY","2",9.83,49.8
"373","Vanessa","Sep","MPY","2",9.36,49.8
"374","Amanda","Jun","MPY","3",5.1,54.9
"375","Candice","Jun","MPY","3",6.5,54.9
"376","Nikki","Jun","MPY","3",5.27,54.9
"377","Amanda","Jul","MPY","3",5.82,31.4
"378","Nikki","Jul","MPY","3",6.7,31.4
"379","Sally","Jul","MPY","3",4.56,31.4
"380","Amanda","Aug","MPY","3",4.11,95.1
"381","Blondie","Aug","MPY","3",8.38,95.1
"382","Camilla","Aug","MPY","2",7.13,95.1
"383","Candice","Aug","MPY","3",6.8,95.1
"384","Goggles","Aug","MPY","2",5.63,95.1
"385","Hazel","Aug","MPY","3",8.13,95.1
"386","Jessie","Aug","MPY","2",3.56,95.1
"387","Jill","Aug","MPY","2",7.13,95.1
"388","Julliet","Aug","MPY","2",6.88,95.1
"389","Kiwi","Aug","MPY","2",7.75,95.1
"390","Odette","Aug","MPY","3",7.75,95.1
"391","Qantas","Aug","MPY","2",7.33,95.1
"392","Stripes","Aug","MPY","3",7,95.1
"393","Acacia","Sep","MPY","3",6.25,80.5
"394","Amy","Sep","MPY","1",4.77,80.5
"395","Apanie","Sep","MPY","2",8.25,80.5
"396","Blondie","Sep","MPY","3",5.85,80.5
"397","Camilla","Sep","MPY","3",5.13,80.5
"398","Celine","Sep","MPY","3",4.75,80.5
"399","Cotton","Sep","MPY","2",7.56,80.5
"400","Deberah","Sep","MPY","2",6.27,80.5
"401","Dianne","Sep","MPY","3",7.17,80.5
"402","Dot","Sep","MPY","1",5.67,80.5
"403","Esther","Sep","MPY","3",4.8,80.5
"404","Firefly","Sep","MPY","3",7.27,80.5
"405","Hazel","Sep","MPY","3",5.63,80.5
"406","Jo","Sep","MPY","2",5.22,80.5
"407","Longnose","Sep","MPY","2",8.2,80.5
"408","Lumpy","Sep","MPY","2",9,80.5
"409","Lydia","Sep","MPY","3",6.3,80.5
"410","Qantas","Sep","MPY","3",6.09,80.5
"411","Acacia","Oct","MPY","3",11.33,123.8
