UniqueID,Year,Admin,Longitude,Latitude,Area
7004,2004,2,-40.22736157,-3.829339782,708.0430341
7005,2004,2,-38.52850792,-3.784849794,708.0430341
7301,2004,2,-49.27509198,-16.64207616,708.0430341
7936,2004,2,-43.95973192,-19.90239669,708.0430341
8084,2004,2,-42.6897295,-19.45814161,708.0430341
8583,2004,2,-44.86214932,-15.89675881,708.0430341
8742,2004,2,-48.42329736,-1.26430504,708.0430341
9492,2004,2,-35.94366862,-8.453952943,708.0430341
9519,2004,2,-35.08005625,-8.271341838,708.0430341
9525,2004,2,-34.99495414,-7.984535625,708.0430341
9576,2004,2,-34.99908888,-8.154737775,708.0430341
9599,2004,2,-35.23556536,-7.733135553,708.0430341
9600,2004,2,-34.86446703,-7.999332773,708.0430341
9621,2004,2,-34.93042692,-8.044208784,708.0430341
9941,2004,2,-43.05519939,-22.91658456,708.0430341
9961,2004,2,-43.45091073,-22.92497304,708.0430341
10553,2004,2,-52.31308219,-28.00867841,708.0430341
11255,2004,2,-47.80762679,-20.32948281,708.0430341
11436,2004,2,-45.3028566,-22.82463447,708.0430341
11548,2004,2,-46.75255277,-21.7533772,708.0430341
671,2005,1,-47.796793,-15.780741,708.0430341
7301,2005,2,-49.27509198,-16.64207616,708.0430341
7936,2005,2,-43.95973192,-19.90239669,708.0430341
8084,2005,2,-42.6897295,-19.45814161,708.0430341
8583,2005,2,-44.86214932,-15.89675881,708.0430341
8742,2005,2,-48.42329736,-1.26430504,708.0430341
9492,2005,2,-35.94366862,-8.453952943,708.0430341
9519,2005,2,-35.08005625,-8.271341838,708.0430341
9525,2005,2,-34.99495414,-7.984535625,708.0430341
9576,2005,2,-34.99908888,-8.154737775,708.0430341
9599,2005,2,-35.23556536,-7.733135553,708.0430341
9600,2005,2,-34.86446703,-7.999332773,708.0430341
9621,2005,2,-34.93042692,-8.044208784,708.0430341
9941,2005,2,-43.05519939,-22.91658456,708.0430341
9961,2005,2,-43.45091073,-22.92497304,708.0430341
10553,2005,2,-52.31308219,-28.00867841,708.0430341
11255,2005,2,-47.80762679,-20.32948281,708.0430341
11436,2005,2,-45.3028566,-22.82463447,708.0430341
11548,2005,2,-46.75255277,-21.7533772,708.0430341
671,2006,1,-47.796793,-15.780741,708.0430341
7131,2006,2,-47.79679277,-15.78074135,708.0430341
7301,2006,2,-49.27509198,-16.64207616,708.0430341
7636,2006,2,-44.28225011,-2.631781763,708.0430341
7743,2006,2,-52.21109946,-20.43827364,708.0430341
7936,2006,2,-43.95973192,-19.90239669,708.0430341
8084,2006,2,-42.6897295,-19.45814161,708.0430341
8583,2006,2,-44.86214932,-15.89675881,708.0430341
9492,2006,2,-35.94366862,-8.453952943,708.0430341
9519,2006,2,-35.08005625,-8.271341838,708.0430341
9525,2006,2,-34.99495414,-7.984535625,708.0430341
9576,2006,2,-34.99908888,-8.154737775,708.0430341
9599,2006,2,-35.23556536,-7.733135553,708.0430341
9600,2006,2,-34.86446703,-7.999332773,708.0430341
9621,2006,2,-34.93042692,-8.044208784,708.0430341
9941,2006,2,-43.05519939,-22.91658456,708.0430341
9961,2006,2,-43.45091073,-22.92497304,708.0430341
10553,2006,2,-52.31308219,-28.00867841,708.0430341
11105,2006,2,-48.96360151,-21.13295988,708.0430341
11128,2006,2,-45.00567723,-22.55083922,708.0430341
